Date,AZO_SLP
10/1/1944,1025.2
11/1/1944,1020.7
12/1/1944,1024.8
1/1/1945,1020.6
2/1/1945,1026
3/1/1945,1021.7
4/1/1945,1012.4
5/1/1945,1019.3
6/1/1945,1024.6
7/1/1945,1026
8/1/1945,1025.8
9/1/1945,1021.7
10/1/1945,1016.3
11/1/1945,1010
12/1/1945,1013.8
1/1/1946,1023.5
2/1/1946,1022.1
3/1/1946,1020.3
4/1/1946,1026.8
5/1/1946,1018.6
6/1/1946,1027.7
7/1/1946,1027.1
8/1/1946,1026.5
9/1/1946,1023.8
10/1/1946,1013.5
11/1/1946,1019.3
12/1/1946,1025.3
1/1/1947,1017
2/1/1947,1010
3/1/1947,1010
4/1/1947,1026.4
5/1/1947,1020.6
6/1/1947,1022.6
7/1/1947,1024.4
8/1/1947,1023
9/1/1947,1025.5
10/1/1947,1021
11/1/1947,1017.7
12/1/1947,1017.3
1/1/1948,1019.6
2/1/1948,1016.9
3/1/1948,1022.8
4/1/1948,1025.6
5/1/1948,1021.4
6/1/1948,1025.2
7/1/1948,1024.8
8/1/1948,1023.8
9/1/1948,1022.6
10/1/1948,1023.4
11/1/1948,1013.5
12/1/1948,1017.7
1/1/1949,1024
2/1/1949,1022.1
3/1/1949,1021.1
4/1/1949,1024.2
5/1/1949,1023.5
6/1/1949,1023
7/1/1949,1025.6
8/1/1949,1021.4
9/1/1949,1021.3
10/1/1949,1020
11/1/1949,1022.9
12/1/1949,1021.3
1/1/1950,1019.2
2/1/1950,1023.3
3/1/1950,1018.9
4/1/1950,1023.4
5/1/1950,1019
6/1/1950,1022.5
7/1/1950,1024.2
8/1/1950,1023.4
9/1/1950,1025.5
10/1/1950,1022
11/1/1950,1017.6
12/1/1950,1022.4
1/1/1951,1024.4
2/1/1951,1024.6
3/1/1951,1014.3
4/1/1951,1017.8
5/1/1951,1019.9
6/1/1951,1019.8
7/1/1951,1024.4
8/1/1951,1026.3
9/1/1951,1021.3
10/1/1951,1022
11/1/1951,1020.3
12/1/1951,1023.2
1/1/1952,1030.4
2/1/1952,1016.6
3/1/1952,1010.3
4/1/1952,1023.8
5/1/1952,1018.9
6/1/1952,1023.8
7/1/1952,1027.4
8/1/1952,1023.3
9/1/1952,1022.3
10/1/1952,1018
11/1/1952,1017.3
12/1/1952,1022.2
1/1/1953,1015.4
2/1/1953,1023.6
3/1/1953,1022.3
4/1/1953,1015.8
5/1/1953,1019.9
6/1/1953,1026.8
7/1/1953,1028.4
8/1/1953,1025.3
9/1/1953,1023.3
10/1/1953,1021
11/1/1953,1020.3
12/1/1953,1020.2
1/1/1954,1025.4
2/1/1954,1025.6
3/1/1954,1020.3
4/1/1954,1024.8
5/1/1954,1019.9
6/1/1954,1026.8
7/1/1954,1029.4
8/1/1954,1024.3
9/1/1954,1027.3
10/1/1954,1020
11/1/1954,1020.3
12/1/1954,1024.2
1/1/1955,1013.4
2/1/1955,1013.6
3/1/1955,1013.3
4/1/1955,1020.8
5/1/1955,1022.9
6/1/1955,1023.8
7/1/1955,1026.4
8/1/1955,1023.3
9/1/1955,1026.3
10/1/1955,1019
11/1/1955,1012.3
12/1/1955,1019.2
1/1/1956,1019.4
2/1/1956,1014.6
3/1/1956,1020.3
4/1/1956,1018.8
5/1/1956,1028.9
6/1/1956,1027.8
7/1/1956,1025.4
8/1/1956,1024.3
9/1/1956,1021.3
10/1/1956,1021
11/1/1956,1023.3
12/1/1956,1024.2
1/1/1957,1024.4
2/1/1957,1016.6
3/1/1957,1010.3
4/1/1957,1024.8
5/1/1957,1024.9
6/1/1957,1020.8
7/1/1957,1025.4
8/1/1957,1025.3
