"state_id","county_full","lng","lat","population","SVI"
"TX","Medina County",-99.1101,29.3557,51432,0.4704
"MS","Oktibbeha County",-88.8793,33.4249,51388,0.2099
"TX","Cherokee County",-95.1652,31.837,50824,0.9051
"TX","Polk County",-94.83,30.7927,50536,0.7233
"TX","Wilson County",-98.0866,29.174,50381,0.0909
"TX","Lamar County",-95.5712,33.6673,50149,0.5534
"TX","Burnet County",-98.1823,30.7884,49684,0.2767
"AL","Dale County",-85.611,31.4318,49455,0.6364
"GA","Laurens County",-82.9222,32.4636,49407,0.6456
"TX","Atascosa County",-98.5272,28.8935,49403,0.8063
"LA","St. Mary Parish",-91.4486,29.7207,49114,0.6667
"LA","Vernon Parish",-93.1843,31.1083,48452,0.3651
"LA","Lincoln Parish",-92.6649,32.6016,48323,0.3492
"FL","Jackson County",-85.2155,30.7954,47704,0.5
"TX","Val Verde County",-101.1517,29.8929,47693,0.9328
"TX","Chambers County",-94.61,29.7384,47037,0.1304
"GA","Habersham County",-83.5311,34.631,46326,0.4304
"TX","Caldwell County",-97.6199,29.8368,46141,0.8261
"MS","Hancock County",-89.489,30.4165,46010,0.037
"GA","Colquitt County",-83.7688,31.1884,45813,0.981
"GA","Thomas County",-83.9193,30.8637,45665,0.5127
"LA","Washington Parish",-90.0405,30.8533,45514,0.9365
"TX","Kendall County",-98.7115,29.9447,45376,0.0672
"TX","Wood County",-95.3821,32.7864,45341,0.3953
"AL","Chilton County",-86.7188,32.8479,45140,0.3182
"GA","Bryan County",-81.4436,32.0145,44995,0.0886
"MS","Washington County",-90.9474,33.2839,44604,0.9877
"MS","Warren County",-90.852,32.3573,44341,0.3457
"LA","St. Bernard Parish",-89.5549,29.8691,44038,0.8095
"FL","Suwannee County",-82.9915,30.1956,43881,0.6818
"GA","Baldwin County",-83.2495,33.0693,43778,0.6646
"FL","Gadsden County",-84.6136,30.5795,43746,0.9091
"FL","Levy County",-82.7434,29.3184,43268,0.5152
"GA","Coffee County",-82.8492,31.5493,43056,0.8797
"GA","Polk County",-85.1881,34.0018,43019,0.5316
"TX","Erath County",-98.2179,32.2363,42788,0.4585
"LA","St. John the Baptist Parish",-90.4709,30.1264,41986,0.3333
"GA","Oconee County",-83.4371,33.835,41978,0
"TX","Cooke County",-97.2126,33.6393,41860,0.3202
"TX","Wharton County",-96.2221,29.2779,41614,0.8379
"TX","Upshur County",-94.9415,32.7363,41261,0.2569
