"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"Jones County","MS",-89.1688,31.6225,67152,0.2716,"Jones","County","Relatively High"
"Karnes County","TX",-97.8594,28.9057,14805,0.8419,"Karnes","County","Very High"
"Kenedy County","TX",-97.7017,26.9285,116,0.5336,"Kenedy","County","Very High"
"Kimble County","TX",-99.7487,30.4868,4316,0.1739,"Kimble","County","Relatively High"
"Kleberg County","TX",-97.7273,27.4337,30860,0.9249,"Kleberg","County","Very High"
"Lafayette County","FL",-83.1811,29.9855,8107,0.8333,"Lafayette","County","Very High"
"Lafayette Parish","LA",-92.0639,30.2068,243175,0.1905,"Lafayette","Parish","Very High"
"Lafourche Parish","LA",-90.4256,29.5662,97220,0.2222,"Lafourche","Parish","Very High"
"Lamar County","MS",-89.5087,31.206,64425,0.0864,"Lamar","County","Relatively High"
"Lavaca County","TX",-96.9302,29.3843,20379,0.1621,"Lavaca","County","Very High"
"Lawrence County","MS",-90.107,31.5502,11933,0.642,"Lawrence","County","Relatively High"
"Leake County","MS",-89.524,32.7535,21335,0.7778,"Leake","County","Relatively High"
"Lee County","FL",-81.8332,26.578,772902,0.4394,"Lee","County","Very High"
"Lee County","TX",-96.9657,30.3107,17543,0.4743,"Lee","County","Relatively High"
"Leon County","FL",-84.2779,30.458,294128,0.4091,"Leon","County","Relatively High"
"Leon County","TX",-95.9957,31.2965,15928,0.3518,"Leon","County","Relatively High"
"Levy County","FL",-82.7434,29.3184,43268,0.5152,"Levy","County","Relatively High"
"Liberty County","FL",-84.8829,30.2413,7704,0.6515,"Liberty","County","Relatively High"
"Liberty County","TX",-94.8122,30.1516,93523,0.9486,"Liberty","County","Relatively High"
"Limestone County","TX",-96.5805,31.5455,22222,0.751,"Limestone","County","Relatively High"
"Live Oak County","TX",-98.1248,28.3514,11374,0.7866,"Live Oak","County","Relatively High"
"Livingston Parish","LA",-90.7279,30.4401,143425,0.1111,"Livingston","Parish","Very High"
"Madison County","FL",-83.4701,30.4441,17986,0.6364,"Madison","County","Relatively High"
"Madison County","TX",-95.9284,30.9655,13556,0.7194,"Madison","County","Very High"
"Manatee County","FL",-82.3153,27.4719,405069,0.303,"Manatee","County","Very High"
"Marion County","FL",-82.0567,29.2102,378225,0.6212,"Marion","County","Relatively High"
"Marion County","MS",-89.8224,31.2308,24362,0.679,"Marion","County","Very High"
"Martin County","FL",-80.4315,27.0775,159399,0.1212,"Martin","County","Very High"
"Mason County","TX",-99.2261,30.7177,3959,0.0553,"Mason","County","Relatively High"
"Matagorda County","TX",-96.011,28.8212,36251,0.8775,"Matagorda","County","Very High"
"McMullen County","TX",-98.5679,28.3526,670,0.6838,"McMullen","County","Very High"
"Menard County","TX",-99.8206,30.8898,1964,0.7312,"Menard","County","Relatively High"
"Miami-Dade County","FL",-80.5624,25.615,2688237,0.8939,"Miami-Dade","County","Relatively High"
"Milam County","TX",-96.9768,30.7863,25080,0.5257,"Milam","County","Relatively High"
"Mobile County","AL",-88.2058,30.7877,413878,0.7424,"Mobile","County","Very High"
"Monroe County","AL",-87.3654,31.5709,19816,0.6212,"Monroe","County","Relatively High"
"Monroe County","FL",-81.1089,25.3192,82044,0.3939,"Monroe","County","Very High"
"Morris County","TX",-94.7326,33.1135,11993,0.4427,"Morris","County","Very High"
"Nacogdoches County","TX",-94.6159,31.616,64768,0.917,"Nacogdoches","County","Very High"
"Nassau County","FL",-81.8019,30.6107,91538,0.0152,"Nassau","County","Relatively High"
"Neshoba County","MS",-89.1176,32.7535,28970,0.716,"Neshoba","County","Relatively High"
"Newton County","TX",-93.7448,30.7863,12333,0.7273,"Newton","County","Relatively High"
"Noxubee County","MS",-88.5698,33.1102,10261,0.9136,"Noxubee","County","Relatively High"
"Nueces County","TX",-97.6134,27.7254,353245,0.7708,"Nueces","County","Very High"
"Okaloosa County","FL",-86.5917,30.6913,212021,0.2121,"Okaloosa","County","Very High"
"Okeechobee County","FL",-80.8886,27.3864,39870,0.9242,"Okeechobee","County","Relatively High"
"Orange County","TX",-93.8939,30.1213,84761,0.2925,"Orange","County","Very High"
"Orleans Parish","LA",-89.9289,30.0687,380408,0.6825,"Orleans","Parish","Relatively High"
"Palm Beach County","FL",-80.4655,26.6476,1494805,0.803,"Palm Beach","County","Very High"
"Panola County","TX",-94.3056,32.1624,22540,0.4466,"Panola","County","Relatively High"
"Pasco County","FL",-82.392,28.3092,569211,0.3636,"Pasco","County","Relatively High"
"Pearl River County","MS",-89.5896,30.7688,56351,0.1481,"Pearl River","County","Very High"
"Perry County","MS",-88.9924,31.172,11511,0.321,"Perry","County","Relatively High"
