"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Freestone County","TX",-96.1491,31.7049,19599,0.4387,"Freestone","County"
"Frio County","TX",-99.1082,28.8678,18151,0.913,"Frio","County"
"Gadsden County","FL",-84.6136,30.5795,43746,0.9091,"Gadsden","County"
"Galveston County","TX",-94.9642,29.3944,350801,0.3715,"Galveston","County"
"Geneva County","AL",-85.8391,31.0951,26647,0.3788,"Geneva","County"
"George County","MS",-88.644,30.8626,24547,0.4198,"George","County"
"Gilchrist County","FL",-82.8004,29.7258,18070,0.4697,"Gilchrist","County"
"Gillespie County","TX",-98.9465,30.3181,26953,0.3834,"Gillespie","County"
"Glades County","FL",-81.189,26.9564,12179,0.8788,"Glades","County"
"Glasscock County","TX",-101.5208,31.8695,1068,0.1067,"Glasscock","County"
"Goliad County","TX",-97.4264,28.6571,7092,0.1976,"Goliad","County"
"Gonzales County","TX",-97.4925,29.4567,19736,0.8419,"Gonzales","County"
"Greene County","AL",-87.9522,32.8531,7706,0.9697,"Greene","County"
"Greene County","MS",-88.6392,31.2142,13672,0.4444,"Greene","County"
"Grimes County","TX",-95.9855,30.5435,29442,0.668,"Grimes","County"
"Gulf County","FL",-85.2263,29.9565,15002,0.2424,"Gulf","County"
"Hale County","AL",-87.6291,32.7627,14742,0.9091,"Hale","County"
"Hall County","TX",-100.6811,34.5308,2847,0.7115,"Hall","County"
"Hamilton County","FL",-82.9479,30.4964,13492,0.9545,"Hamilton","County"
"Hamilton County","TX",-98.1107,31.7048,8244,0.2609,"Hamilton","County"
"Hancock County","MS",-89.489,30.4165,46010,0.037,"Hancock","County"
"Hardee County","FL",-81.81,27.4927,25528,0.9697,"Hardee","County"
"Hardin County","TX",-94.3902,30.3324,56576,0.2964,"Hardin","County"
"Harris County","TX",-95.3938,29.8578,4726177,0.834,"Harris","County"
"Harrison County","MS",-89.116,30.5122,208748,0.5679,"Harrison","County"
"Harrison County","TX",-94.3715,32.5481,69098,0.6601,"Harrison","County"
"Haskell County","TX",-99.7303,33.1782,5408,0.6206,"Haskell","County"
"Henderson County","TX",-95.8536,32.2119,82627,0.5771,"Henderson","County"
"Hendry County","FL",-81.1659,26.5535,39902,0.9848,"Hendry","County"
