"","ID","Name","state.name","x","y","Max.Wind","Year","Month","cat","color"
"93","AL112017","IRMA","florida",-81.7,25.91487355,115.0744141,2017,9,3,"blue"
"94","AL162017","NATE","louisiana",-89.18330162,29.01650811,86.15150837,2017,10,1,"blue"
"95","AL142018","ICHAEL","florida",-85.50558861,29.99301424,161.0955193,2018,10,5,"blue"
"96","AL082020","HANNA","texas",-97.48051132,26.70974434,91.84007194,2020,7,1,"blue"
"97","AL132020","LAURA","louisiana",-93.29990286,29.79957907,149.6012576,2020,8,4,"blue"
"98","AL192020","SALLY","alabama",-87.71502337,30.26995326,108.8615844,2020,9,2,"blue"
"99","AL262020","DELTA","louisiana",-93.10394534,29.79132025,97.80659362,2020,10,2,"blue"
"100","AL282020","ZETA","louisiana",-90.5693709,29.24375585,114.9926653,2020,10,3,"blue"
"101","AL092021","IDA","louisiana",-90.21237703,29.10618852,149.5540774,2021,8,4,"blue"
"102","AL092022","IAN","florida",-82.08385884,26.75807058,145.354783,2022,9,4,"blue"
"103","AL102023","IDALIA","florida",-83.62332219,29.86268449,115.0550085,2023,8,3,"blue"
