Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45007010107,45007,1,10107,18.2418499,63.9289589,37,34.758583,-82.553146,67,623,45007,7,Anderson,SC,45,51
45007010108,45007,1,10108,54.9290504,134.9873657,72,34.724312,-82.585587,68,623,45007,7,Anderson,SC,45,51
45007010200,45007,1,10200,30.1902676,115.8014526,90,34.720566,-82.473442,69,623,45007,7,Anderson,SC,45,51
45007010300,45007,1,10300,22.9677677,85.5670013,118,34.655235,-82.486328,70,623,45007,7,Anderson,SC,45,51
45007010403,45007,1,10403,10.6549282,60.195137,142,34.614094,-82.474709,71,623,45007,7,Anderson,SC,45,51
45007010404,45007,1,10404,14.0789232,63.7632065,117,34.627235,-82.487572,72,623,45007,7,Anderson,SC,45,51
45007010405,45007,1,10405,24.4858189,78.4085083,71,34.600887,-82.530441,73,623,45007,7,Anderson,SC,45,51
45007010406,45007,1,10406,63.0000534,112.506813,93,34.571102,-82.49321,74,623,45007,7,Anderson,SC,45,51
45007010501,45007,1,10501,61.7359848,150.9272461,94,34.633335,-82.595749,75,623,45007,7,Anderson,SC,45,51
45007010502,45007,1,10502,33.2038918,114.548317,71,34.661839,-82.540436,76,623,45007,7,Anderson,SC,45,51
45007010601,45007,1,10601,84.6748428,159.5542297,105,34.660614,-82.655937,77,623,45007,7,Anderson,SC,45,51
45007010602,45007,1,10602,83.5787201,180.741272,134,34.622955,-82.721252,78,623,45007,7,Anderson,SC,45,51
45007010701,45007,1,10701,28.9161949,80.7386246,100,34.634182,-82.784538,79,623,45007,7,Anderson,SC,45,51
45007010702,45007,1,10702,28.5734558,88.9384308,119,34.650867,-82.764565,80,623,45007,7,Anderson,SC,45,51
45007010800,45007,1,10800,72.2540054,174.270874,90,34.565151,-82.791351,81,623,45007,7,Anderson,SC,45,51
45007010900,45007,1,10900,129.8705902,265.5374146,151,34.524902,-82.883034,82,623,45007,7,Anderson,SC,45,51
45007011001,45007,1,11001,48.2670059,125.7192993,96,34.493755,-82.785324,83,623,45007,7,Anderson,SC,45,51
45007011002,45007,1,11002,16.8364811,70.826973,74,34.539162,-82.727989,84,623,45007,7,Anderson,SC,45,51
45007011100,45007,1,11100,9.7261982,46.741806,53,34.555393,-82.697701,85,623,45007,7,Anderson,SC,45,51
45007011201,45007,1,11201,25.0632458,101.8773041,78,34.580872,-82.644753,86,623,45007,7,Anderson,SC,45,51
45007011203,45007,1,11203,13.7503176,60.5365944,61,34.539799,-82.604675,87,623,45007,7,Anderson,SC,45,51
45007011204,45007,1,11204,20.9742737,74.0501099,52,34.57198,-82.607338,88,623,45007,7,Anderson,SC,45,51
45007011301,45007,1,11301,59.2618446,127.4081192,75,34.447903,-82.555779,89,623,45007,7,Anderson,SC,45,51
45007011302,45007,1,11302,65.1429443,146.4306946,121,34.503914,-82.54232,90,623,45007,7,Anderson,SC,45,51
45007011401,45007,1,11401,18.7797222,93.4599609,175,34.519856,-82.505859,91,623,45007,7,Anderson,SC,45,51
45007011402,45007,1,11402,53.9359512,115.4955368,130,34.527649,-82.460945,92,623,45007,7,Anderson,SC,45,51
45007011501,45007,1,11501,48.7687874,140.2701874,163,34.447201,-82.427032,93,623,45007,7,Anderson,SC,45,51
45007011502,45007,1,11502,59.5442886,129.4767761,162,34.472633,-82.388275,94,623,45007,7,Anderson,SC,45,51
45007011600,45007,1,11600,79.6386566,152.0082855,99,34.393509,-82.508392,95,623,45007,7,Anderson,SC,45,51
45007011701,45007,1,11701,66.7262192,126.1501541,81,34.347668,-82.614716,96,623,45007,7,Anderson,SC,45,51
45007011702,45007,1,11702,136.057312,229.8099976,215,34.304749,-82.684509,97,623,45007,7,Anderson,SC,45,51
45007011800,45007,1,11800,48.6042404,122.2824783,100,34.417774,-82.640434,98,623,45007,7,Anderson,SC,45,51
45007011901,45007,1,11901,16.6356068,86.117981,151,34.461315,-82.660271,99,623,45007,7,Anderson,SC,45,51
45007011902,45007,1,11902,16.3264999,56.5791969,64,34.470291,-82.624474,100,623,45007,7,Anderson,SC,45,51
